field,tile,band,pointing,exptime,MJD,magzpt_1,magzpt_2,magzpt_3,magzpt_4,seeing_1,seeing_2,seeing_3,seeing_4,deprec_mf,deprec_1,deprec_2,deprec_3,deprec_4,filename,project,obj_band,tag
EN,1,K,1_0,5.00000,53505.55786,24.02700,24.01480,23.97930,24.00310,1.26745,1.14112,1.18125,1.34766,0,0,0,0,0,w20050515_02422_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_1,5.00000,53505.56876,24.03900,24.01370,23.99970,24.02260,1.28208,1.09601,1.14268,1.34248,0,0,0,0,0,w20050515_02522_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_1,5.00000,53505.57991,24.02300,24.02200,24.01700,24.01200,1.38465,1.24972,1.29041,1.47278,10,101,101,101,101,w20050515_02622_sf_st,U/UKIDSS/DXS1,K,EN01K
LH,1,K,0_0,5.00000,53509.26355,24.04340,24.06240,24.04300,24.02260,0.93438,0.99943,1.14072,1.14009,0,0,0,0,0,w20050519_00143_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_0,5.00000,53509.27472,24.06810,24.06170,24.02890,24.06600,0.99514,1.06317,1.22920,1.23481,0,0,0,0,0,w20050519_00243_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,0_1,5.00000,53509.28593,24.04260,24.06580,24.02320,24.04330,0.99692,1.06639,1.22786,1.20413,0,0,0,0,0,w20050519_00343_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_1,5.00000,53509.29688,23.97640,24.02190,24.01320,23.93100,1.08231,1.14414,1.32797,1.28766,0,0,0,0,0,w20050519_00443_sf_st,U/UKIDSS/DXS1,K,LH01K
EN,1,K,0_0,5.00000,53512.49644,24.02710,24.02650,23.97400,23.99660,0.92774,0.95608,1.15549,1.12378,0,0,0,0,0,w20050522_00789_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_0,5.00000,53512.50866,24.06600,24.07210,24.03340,24.05300,0.87678,0.89309,1.08231,1.07880,0,0,0,0,0,w20050522_00889_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,0_1,5.00000,53512.52362,24.06230,24.05770,24.02540,24.04730,0.90794,0.91242,1.12501,1.11400,0,0,0,0,0,w20050522_00989_sf_st,U/UKIDSS/DXS1,K,EN01K
EN,1,K,1_1,5.00000,53512.57054,23.61300,23.61200,23.60700,23.60200,1.35701,1.38184,1.55648,1.55169,10,101,101,101,101,w20050522_01089_sf_st,U/UKIDSS/DXS1,K,EN01K
LH,1,K,0_0,5.00000,53518.24434,24.04300,24.04200,24.03700,24.03200,1.08772,1.07777,1.19965,1.21559,66,101,101,101,101,w20050528_00060_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_0,5.00000,53518.25595,24.06020,24.05980,24.02660,24.05240,1.05806,1.03520,1.12923,1.14297,0,110,0,0,0,w20050528_00160_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,0_1,5.00000,53518.26726,24.01530,24.05110,24.00820,24.01130,1.02400,0.97233,1.08393,1.11850,0,0,0,0,0,w20050528_00260_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_1,5.00000,53518.27860,23.95520,23.99050,23.99180,23.91810,1.03951,1.02234,1.13796,1.18616,0,0,0,0,0,w20050528_00360_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,0_0,5.00000,53519.23572,24.00040,23.99010,23.99880,23.98630,1.05678,1.03392,1.04508,1.11883,0,0,0,0,0,w20050529_00056_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_0,5.00000,53519.24676,24.02330,24.02410,23.99630,24.02600,1.14011,1.09690,1.15212,1.19754,0,0,0,0,0,w20050529_00156_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,0_1,5.00000,53519.25790,24.01430,24.03720,24.00220,23.99730,1.08393,1.06678,1.09803,1.14635,0,0,0,0,0,w20050529_00256_sf_st,U/UKIDSS/DXS1,K,LH01K
LH,1,K,1_1,5.00000,53519.26899,23.98440,24.01710,24.02370,23.96770,1.01102,1.00518,1.02676,1.06173,0,0,0,0,0,w20050529_00356_sf_st,U/UKIDSS/DXS1,K,LH01K
